web-scraper-order,web-scraper-start-url,paginator,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1674655076-2777,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""L auberge du basilico"",""Aime"",""?ˇ118"",""?ˇ84"",""7,7"",""Chambre Double"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""286 expÇriences vÇcues"",""null"",""null"""
"1674655076-2778,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Palanbo"",""Aime"",""null"",""?ˇ137"",""8,7"",""Chambre Double SupÇrieure"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""69 expÇriences vÇcues"",""null"",""null"""
"1674655076-2779,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Base Camp Lodge Hotels"",""Bourg-Saint-Maurice"",""null"",""?ˇ179"",""8,3"",""Chambre Double - Versant Nord"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""1 899 expÇriences vÇcues"",""null"",""null"""
"1674655076-2780,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel La Petite Auberge"",""Bourg-Saint-Maurice"",""null"",""?ˇ98"",""8,1"",""Standard Double Room with Private Bathroom and shared toilets"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""270 expÇriences vÇcues"",""null"",""null"""
"1674655076-2781,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hotel Autantic"",""Bourg-Saint-Maurice"",""null"",""?ˇ113"",""8,8"",""Chambre Lits Jumeaux avec Balcon et Vue sur la Montagne"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""708 expÇriences vÇcues"",""null"",""null"""
"1674655095-2806,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Chalet-Hìtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)"",""Samoâns"",""null"",""?ˇ320"",""8,9"",""Chambre Double SupÇrieure"",""Types de litsˇ: 1 lit double ou 2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""393 expÇriences vÇcues"",""null"",""null"""
"1674655095-2807,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel 4C"",""Cluses"",""null"",""?ˇ94"",""7,0"",""Chambre Double Confort"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""183 expÇriences vÇcues"",""null"",""null"""
"1674655095-2808,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Le Relais Du Mont Blanc"",""Magland"",""null"",""?ˇ116"",""8,4"",""Chambre Double êconomique"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""323 expÇriences vÇcues"",""null"",""null"""
"1674655095-2809,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Edelweiss"",""Samoâns"",""null"",""?ˇ132"",""8,0"",""Chambre Lits Jumeaux êconomique"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""354 expÇriences vÇcues"",""null"",""null"""
"1674655095-2810,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""La Ferme Du Lac"",""Thyez"",""null"",""?ˇ164"",""8,1"",""Chambre Double SupÇrieure"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""227 expÇriences vÇcues"",""null"",""null"""
"1674655095-2811,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=3545&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hotel Edelweiss"",""Magland"",""null"",""?ˇ89"",""7,2"",""Chambre Lits Jumeaux avec Salle de Bains Privative"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""170 expÇriences vÇcues"",""null"",""null"""
