web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,24/04/2023,09/09/2023,15/09/2023,319,319,3 Pièces pour 6 Personnes,568744,Résidence La Combe Iii,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,319,319,2 Pièces pour 5 Personnes,568784,Résidence Setives,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,829,829,2 Pièces 4 Personnes,642944,Location de Vacances Les Gets 347,Les Gets,,36,55,LES GETS
,24/04/2023,09/09/2023,15/09/2023,325,299,2 Pièces pour 5 Personnes,574274,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,599,599,3 Pièces 6 Personnes,645904,Location de Vacances Pralognan-la-Vanoise 181,Pralognan-la-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,390,390,2 Pièces pour 4 Personnes,662874,Résidence Le Jessi,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,482,482,2 Pièces pour 4 Personnes,662384,Résidence Athamante,Valmorel,,36,109,VALMOREL
,24/04/2023,09/09/2023,15/09/2023,380,380,2 Pièces pour 5 Personnes,562964,Résidence Les Fermes,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,241,241,Studio pour 4 Personnes,609194,Résidence Montreal I,Le Pla d'Adet,,36,706,LE PLA D'ADET
,24/04/2023,09/09/2023,15/09/2023,716,716,2 Pièces 5 Personnes,624224,Location de Vacances Samoëns 188,Samoëns,,36,93,SAMOENS
,24/04/2023,09/09/2023,15/09/2023,414,414,3 Pièces 6 Personnes,340724,Location de Vacances Les Angles 137,Les Angles - Pyrénées Orientales,,36,52,LES ANGLES - PYRENEES ORIENTALES
,24/04/2023,09/09/2023,15/09/2023,540,540,2 Pièces pour 5 Personnes,254664,Résidence Portail,Valmorel,,36,109,VALMOREL
,24/04/2023,09/09/2023,15/09/2023,543,543,1 Pièce 4 Personnes,289174,Location de Vacances Les Gets 241,Les Gets,,36,55,LES GETS
,24/04/2023,09/09/2023,15/09/2023,280,258,3 Pièces pour 6 Personnes,568454,Résidence La Combe Ii,Aussois,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,291,291,2 Pièces pour 5 Personnes,568794,Résidence Corniche,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,300,300,Studio pour 4 Personnes,563364,Résidence L'alpenlake,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,225,207,2 Pièces pour 4 Personnes,568384,Résidence Setives,Aussois,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,300,300,Studio pour 4 Personnes,563454,Résidence Azalee,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,300,300,Studio pour 4 Personnes,563264,Résidence L'amarillys,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,573854,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,573774,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,487,487,3 Pièces 6 Personnes,187330,Location de Vacances Châtel 249,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,280,258,3 Pièces pour 6 Personnes,568104,Résidence La Combe Iv,Aussois,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,573784,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,830,830,3 Pièces 6 Personnes,628474,Location de Vacances Samoëns 190,Samoëns,,36,93,SAMOENS
,24/04/2023,09/09/2023,15/09/2023,477,477,2 Pièces pour 4 Personnes,631024,Résidence Cristallin,Valmorel,,36,23,BRIDES LES BAINS
,24/04/2023,09/09/2023,15/09/2023,252,252,Studio pour 4 Personnes,568954,Résidence Setives,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,574104,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,252,252,2 Pièces pour 4 Personnes,568994,Résidence Fleurs,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,422,422,2 Pièces pour 4 Personnes,674024,Résidence Le Grand Adret,Villard-de-Lans,,36,113,VILLARD-DE-LANS
,24/04/2023,09/09/2023,15/09/2023,310,310,Studio pour 4 Personnes,646334,Résidence Ecrin Des Glaciers Daim,Combloux,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,530,530,3 Pièces pour 6 Personnes,630254,Résidence Le Perce-neige,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,398,398,3 Pièces 6 Personnes,168594,Location de Vacances Pralognan-la-Vanoise 118,Pralognan-la-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,305,281,2 Pièces pour 4 Personnes,574334,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,300,300,Studio pour 4 Personnes,562554,Résidence Les Portes Du Soleil,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,390,390,Studio pour 4 Personnes,630344,Résidence Les Avenieres,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,340,340,2 Pièces pour 4 Personnes,563424,Résidence Les Ecrins,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,305,281,2 Pièces pour 4 Personnes,574354,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,252,252,2 Pièces pour 4 Personnes,568854,Résidence Setives,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,340,340,2 Pièces pour 4 Personnes,563284,Résidence L'alpage,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,420,420,3 Pièces pour 6 Personnes,562784,Chalet Madeline,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,300,300,Studio pour 4 Personnes,626354,Résidence Les Seilles,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,398,398,3 Pièces 4 Personnes,643394,Location de Vacances Pralognan-la-Vanoise 180,Pralognan-la-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,327,327,3 Pièces pour 6 Personnes,644014,Résidence Edelweiss,Les Angles - Pyrénées Orientales,,36,83,PYRENEES 2000
