web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,2531,2531,,783044,0.0,Résidence Paccaly,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,990,990,,652224,0.0,Résidence TENDIEU SOLEIL B 1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,895,806,,783304,0.0,Résidence Altitude,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,424,424,,816884,0.0,Résidence La Grande Torche,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,407,407,,781224,0.0,Résidence Nant Soleil A,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,460,460,,781284,0.0,Résidence Alpee,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,654,654,,783434,0.0,Résidence La Rache,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,842,842,,783144,0.0,Résidence La Berraz,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,2716,2716,,801844,0.0,Résidence GRANDE OURSE,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,739,739,,735144,0.0,Résidence VIKING n°23,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,583,583,,662374,0.0,Résidence COTAGNES 4,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,898,898,,553944,0.0,Résidence GROTTE AUX FEES A,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,965,965,,553934,0.0,Résidence GROTTE AUX FEES D,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,732,732,,513494,0.0,Résidence RÉSIDENCE 2-234,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,766,766,,437534,0.0,Résidence PARNASSE 1-413,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,794,794,,389444,0.0,Résidence CREPUSCULE 5,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,794,794,,389434,0.0,Résidence CREPUSCULE 4,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
