web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines 
1691209603-1009,27/03/2023,24/04/2023,01/05/2023,664,664,Chambre Double avec Terrasse,,Logis Hôtel Baratxartea,Sare,,17
1691209603-1010,27/03/2023,24/04/2023,01/05/2023,553,553,Chambre Double Standard,,Hôtel de la Rhune,Ascain,,17
1691209603-1011,27/03/2023,24/04/2023,01/05/2023,809,809,Chambre Double,,Hotel Balea,Guéthary,,17
1691209603-1012,27/03/2023,24/04/2023,01/05/2023,452,452,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,17
1691209603-1013,27/03/2023,24/04/2023,01/05/2023,655,655,Chambre Confort ,,Domaine Agerria,Mauléon-Licharre,,17
1691209603-1014,27/03/2023,24/04/2023,01/05/2023,566,566,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,17
1691209603-1015,27/03/2023,24/04/2023,01/05/2023,559,559,Chambre Double - Vue sur Jardin,,Hôtel du Pont,Ascain,,17
1691209603-1016,27/03/2023,24/04/2023,01/05/2023,1502,1502,Chambre Double avec Balcon et Accès au Spa,,Hotel & Spa 4* Serge Blanco,Hendaye,,17
1691209603-1017,27/03/2023,24/04/2023,01/05/2023,682,682,Chambre Double avec Baignoire,,Hotel Restaurant Santiago,Hendaye,,17
1691209603-1018,27/03/2023,24/04/2023,01/05/2023,453,453,Chambre Pop avec 1 Lit Double,,Greet Hôtel Orthez Bearn,Orthez,,17
1691209603-1019,27/03/2023,24/04/2023,01/05/2023,644,613,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,17
1691209603-1020,27/03/2023,24/04/2023,01/05/2023,317,317,Chambre Double,,Hôtel Eco Relais - Pau Nord,Lons,,17
1691209603-1021,27/03/2023,24/04/2023,01/05/2023,704,704,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Hôtel Chilhar,Espelette,,17
1691209603-1022,27/03/2023,24/04/2023,01/05/2023,652,652,Chambre Lit Queen-Size Confort - Non-Fumeurs,,Best Western Hotel & SPA Pau Lescar Aeroport ex hôtel Vamcel,Lescar,,17
1691209603-1023,27/03/2023,24/04/2023,01/05/2023,518,518,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,17
